demuc_id,chude_id,chude_ten, demuc_ten, score
2efd8c6f-509f-4207-84b6-6b22ff780f2a,ed53d710-e3ae-4741-abc7-0f5dd82dec24,Lao động,Lao động,40.45454545454545
2f7bed93-ec8e-4d43-9111-7f1caa9cc74f,487180ab-07c0-45c1-9e73-1ab76b2a55c9,"Văn hóa, thể thao, du lịch",Hoạt động mỹ thuật,100.0
2fe0aa65-9b7f-4df7-859e-a5aab478512d,81215563-6346-448e-bded-2933f86276bb,"Nông nghiệp, nông thôn",Thú y,74.72413793103448
30eb5989-103c-41de-9b52-3047233f2d9f,3f0ce861-9980-43c9-9dcc-8e064c536bee,"Khoa học, công nghệ",Khoa học và công nghệ,66.08910891089108
316fd577-4857-4351-aa3e-ad9eba3ceaaf,3f0ce861-9980-43c9-9dcc-8e064c536bee,"Khoa học, công nghệ",Năng lượng nguyên tử,35.0
319387a3-090a-47a5-82f6-a9bacbe5d341,8e485a16-50aa-4c80-9fbe-3b286287f8c1,"Doanh nghiệp, hợp tác xã",Doanh nghiệp,60.0
3285256c-25e1-4621-afdc-647fbdd766ea,3fc1ee9d-eec6-4839-9c98-7ac2ca9e0792,Tổ chức bộ máy nhà nước,Bầu cử đại biểu Quốc hội và đại biểu Hội đồng nhân dân,58.333333333333336
34030833-66c0-4966-9dff-1f02e805d94f,ec61c177-8f68-4a69-a42b-2257d599d907,Xây dựng pháp luật và thi hành pháp luật,"Phổ biến, giáo dục pháp luật",82.5
3bcee07e-6c24-43df-9c31-c8850ed610a8,717625a2-281b-4307-b21b-68b1c73d2207,"Thương mại, đầu tư, chứng khoán",Một số hoạt động kinh doanh đặc thù,68.78205128205128
3c2e5819-1141-455c-a5a6-1597ea904830,73b6a37d-b55b-443d-b0fd-8f7d1b215ca1,"Thông tin, báo chí, xuất bản",Xuất bản,15.0
3c3bfd95-920c-404d-82f9-c95af4d8b4e1,cef09501-9f71-4c9a-aa35-238ea8c79f76,Tố tụng và các phương thức giải quyết tranh chấp,Trọng tài thương mại,50.0
3cd17527-175c-446a-8b09-5c4cbfcb4f1f,607817d9-0840-4986-b41f-5f3e9ae650c2,"Y tế, dược","Phòng, chống tác hại của thuốc lá",14.444444444444445
3e044577-82d7-4a50-b5ed-42a1231c6f80,cef09501-9f71-4c9a-aa35-238ea8c79f76,Tố tụng và các phương thức giải quyết tranh chấp,Phá sản,85.0
3fc237d4-1e47-4b5e-a651-aa7e2002bc48,0f8741e9-b3d2-488b-aa70-961ccc802227,"Ngân hàng, tiền tệ",Ngân hàng Nhà nước Việt Nam,71.33673469387755
41685e38-e7ab-4c85-a35e-fb1557319a78,3f0ce861-9980-43c9-9dcc-8e064c536bee,"Khoa học, công nghệ",Đo lường,66.08695652173913
427ac7e7-cae1-474a-9284-28eeada93cd6,81215563-6346-448e-bded-2933f86276bb,"Nông nghiệp, nông thôn",Thủy lợi,85.0
4342e880-6160-4d52-85ba-671ad605adae,3a225bc6-c8c9-459e-967e-9876d4eb2c33,Công nghiệp,Hóa chất,49.5
4342e880-6160-4d52-85ba-671ad605adae,3a225bc6-c8c9-459e-967e-9876d4eb2c33,Công nghiệp,Hóa chất,49.5
4342e880-6160-4d52-85ba-671ad605adae,3a225bc6-c8c9-459e-967e-9876d4eb2c33,Công nghiệp,Hóa chất,45.0
4342e880-6160-4d52-85ba-671ad605adae,3a225bc6-c8c9-459e-967e-9876d4eb2c33,Công nghiệp,Hóa chất,45.0
467d54d1-b81e-49a0-a066-21e2c9b191fc,c7ee2251-ddf9-4c7a-88f8-a9568fad0247,"Thi đua, khen thưởng, các danh hiệu vinh dự nhà nước","Thi đua, khen thưởng",69.70689655172414
472928db-3e71-4968-934b-5c4d9720e40e,3fc1ee9d-eec6-4839-9c98-7ac2ca9e0792,Tổ chức bộ máy nhà nước,Tổ chức Tòa án nhân dân,89.0909090909091
47316aca-6f15-49c8-b604-5a6c87351849,3f0ce861-9980-43c9-9dcc-8e064c536bee,"Khoa học, công nghệ","Chất lượng sản phẩm, hàng hóa",62.035714285714285
47d2af30-c19b-4481-a0e1-47045635b0a3,88a4972a-48c2-4def-926b-a71b9f6e4be7,Thi hành án,Tổ chức và hoạt động của Thừa phát lại,10.0
4913a1cf-5f78-471c-a807-ed5f8c57aaee,efbefb52-bf45-41df-aaf4-6a4e833f333e,"Dân số, gia đình, trẻ em, bình đẳng giới",Hôn nhân và gia đình,67.5
4920f114-9be7-403d-8de8-4d9340680d4e,965fd0b7-e8b0-434a-83c2-9f9b2b4fbcba,"Trật tự, an toàn xã hội","Điều kiện về an ninh, trật tự đối với một số ngành, nghề kinh doanh có điều kiện",70.0
4b478410-d0e7-4487-9d32-889cd067b4fb,09ca05d1-7f1d-4887-a65d-a210374d1969,"Thuế, phí, lệ phí, các khoản thu khác","Thuế xuất khẩu, thuế nhập khẩu",67.27272727272727
